country,fc,fg,legsystem,legsyst2,legsyst3,region,year,context,type,inst,event,location,theme,theme2,origin,origin2,effect,effect2,further detail,
Bulgaria,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Croatia,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Cyprus,,FALSE,Common law,Civil law,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Kosovo,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Kyrgyzstan,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Lithuania,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Montenegro,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Romania,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Serbia,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Slovakia,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Slovenia,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Syria,,FALSE,Civil law,Muslim law,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Turkey,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Turkmenistan,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Andorra,1,TRUE,Customary law,,,Western Europe,1993,Non-crisis,Duty1,FALSE,Original text,Preamble and Main text,Societal values,Environment,Culture,,,,,
Germany,2,TRUE,Civil law,,,Western Europe,1994,Non-crisis,Duty1,FALSE,Amendment,Main text,Environment,,Emulation,,Symbolic,Agenda,https://docs.google.com/document/d/1r3bZG_OFkqedPsVAKazbPgZDsxNvVvqArYAl4HwZ-MU/edit?usp=sharing,
Luxembourg,2,TRUE,Civil law,,,Western Europe,2007,Non-crisis,Duty1,FALSE,Amendment,Main text,Future generations,,Emulation,,Symbolic,"agenda, but apparently not because of constitution (earlier than constitution)",https://docs.google.com/document/d/1HIO5sZb11UWQUk4hE1d1SbgivvO2x8tFZ2zpKU0PFMo/edit?usp=sharing,
Sweden,1,TRUE,Civil law,,,Western Europe,1974,Non-crisis,Duty1,FALSE,Original text,Main text,Environment,,Culture,,Symbolic,,https://docs.google.com/document/d/1iTarAgeNTauSZu_nPAqSPLmQA4FbyL5DMpna_Pv2FIA/edit#,
France,2,TRUE,Civil law,,,Western Europe,2005,Non-crisis,Principle,FALSE,Amendment,Preamble,Environment,,Emulation,Culture,Judicial,Executive,https://docs.google.com/document/d/1nFb9hiOFRtJ-30yWIaGJWgUZM0CdxRhSLI-WpwsGtwM/edit?usp=sharing,
Switzerland,2,TRUE,Civil law,,,Western Europe,1999,Non-crisis,Principle,FALSE,Original text,Preamble,Future generations,,Emulation,,Agenda,,https://docs.google.com/document/d/12HWzJlqTS5unG_u7Xqx-HzbpsIY8nEE5S_xdy5uHwfc/edit?usp=sharing,
Norway,1,TRUE,Civil law,,,Western Europe,2014,Non-crisis,Right,FALSE,Amendment,Main text,Environment,Natural resources,International influence,Emulation,Symbolic,Judicial,https://docs.google.com/document/d/1jFikL4bFOWUlPkxbQRitkK_962yvUT0FgE1Lgi8oRqY/edit#,
Austria,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Denmark,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Finland,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Greece,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Iceland,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Ireland,,FALSE,Common law,,,Western Europe,,,,FALSE,,,,,,,,,,
Italy,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Liechtenstein,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Monaco,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Netherlands,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Portugal,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
San Marino,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
Spain,,FALSE,Civil law,,,Western Europe,,,,FALSE,,,,,,,,,,
United Kingdom,,FALSE,Common law,,,Western Europe,,,,FALSE,,,,,,,,,,
Belgium,,FALSE,Civil law,,,Western Europe ,,,,FALSE,,,,,,,,,,
